region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
390,TX- CORPUS CHRISTI,83.17,35,33,42,82.34,83.9,35 [33 - 42],83.17% [82.34% - 83.9%],65,48,80,05-18-2021,projected
391,TX- DALLAS,83.99,283,274,301,83.21,85.11,283 [274 - 301],83.99% [83.21% - 85.11%],488,393,626,05-18-2021,projected
393,TX- EL PASO,82.59,32,27,40,80.51,83.42,32 [27 - 40],82.59% [80.51% - 83.42%],71,14,94,05-18-2021,projected
394,TX- FORT WORTH,83.26,87,82,93,82.4,84.03,87 [82 - 93],83.26% [82.4% - 84.03%],163,120,202,05-18-2021,projected
396,TX- HARLINGEN,84.3,31,30,33,83.53,85.5,31 [30 - 33],84.3% [83.53% - 85.5%],61,50,78,05-18-2021,projected
397,TX- HOUSTON,84.41,414,393,438,83.41,85.84,414 [393 - 438],84.41% [83.41% - 85.84%],753,582,996,05-18-2021,projected
399,TX- LONGVIEW,87.14,34,32,38,84.81,91.52,34 [32 - 38],87.14% [84.81% - 91.52%],49,33,79,05-18-2021,projected
400,TX- LUBBOCK,80.92,14,12,16,80.25,81.59,14 [12 - 16],80.92% [80.25% - 81.59%],22,6,38,05-18-2021,projected
402,TX- MCALLEN,87.25,70,68,74,86.12,88.26,70 [68 - 74],87.25% [86.12% - 88.26%],115,97,131,05-18-2021,projected
406,TX- ODESSA,84.41,26,23,44,82.86,88.13,26 [23 - 44],84.41% [82.86% - 88.13%],57,37,105,05-18-2021,projected
411,TX- SAN ANGELO,80.0,0,0,1,80.0,81.46,0 [0 - 1],80.0% [80.0% - 81.46%],0,0,10,05-18-2021,projected
412,TX- SAN ANTONIO,84.92,220,208,244,83.84,86.27,220 [208 - 244],84.92% [83.84% - 86.27%],356,278,454,05-18-2021,projected
413,TX- TEMPLE,84.58,28,26,31,83.62,87.77,28 [26 - 31],84.58% [83.62% - 87.77%],43,34,73,05-18-2021,projected
416,TX- TYLER,93.47,131,120,146,88.17,102.07,131 [120 - 146],93.47% [88.17% - 102.07%],216,131,354,05-18-2021,projected
417,TX- VICTORIA,85.35,28,27,29,83.91,86.78,28 [27 - 29],85.35% [83.91% - 86.78%],41,30,52,05-18-2021,projected
418,TX- WACO,85.7,21,20,24,83.18,88.21,21 [20 - 24],85.7% [83.18% - 88.21%],34,19,49,05-18-2021,projected
420,TX- WICHITA FALLS,83.33,18,17,19,82.46,84.2,18 [17 - 19],83.33% [82.46% - 84.2%],23,17,29,05-18-2021,projected
421,UT- OGDEN,86.03,24,23,25,85.48,87.67,24 [23 - 25],86.03% [85.48% - 87.67%],44,40,56,05-18-2021,projected
